"","PRJNA291292:ampicillin:PA14","PRJNA291292:silver_nitrate:PA14","PRJNA291292:aztreonam:PA14","PRJNA291292:bleach:PA14","PRJNA291292:benzalkonium_chloride:PA14","PRJNA291292:carbenicillin:PA14","PRJNA291292:cefoperazone:PA14","PRJNA291292:ciprofloxacin:PA14","PRJNA291292:gentamicin:PA14","PRJNA291292:neomycin:PA14","PRJNA291292:polymyxin_B:PA14","PRJNA291292:povidone-iodine:PA14","PRJNA291292:tobramycin:PA14","PRJNA291292:water:PA14","PRJNA291292:H2O2:PA14"
"PA14_00010",0.5508,0.5504,0.0536,-0.0847,0.0787,1.1819,0.7036,1.0572,0.0049,-0.7277,1.0825,-0.2305,-0.4251,0,0.1823
"PA14_00020",0.746,-3.3004,-0.1482,-0.2401,-0.6502,-0.1353,-1.5744,4.6155,-1.4279,-2.2162,-2.7994,-1.42,0.2812,0,-1.4892
"PA14_00030",1.8439,-0.4997,-0.1665,0.4446,0.4079,3.6296,-0.6798,3.798,3.3935,0.7506,-0.7442,1.1518,0.5856,0,1.7749
"PA14_00050",39.2792,-94.7726,37.1367,-15.9232,47.9152,35.5761,-32.931,112.3754,9.2709,-24.0172,-43.2468,3.4254,-16.3862,0,-57.0011
"PA14_00060",-0.0386,-1.104,-0.5276,-1.5818,-1.239,-1.1774,-0.5565,0.7961,-0.8673,-1.0808,-0.4976,-0.8655,-0.37,0,-1.1819
"PA14_00070",1.3734,0.7233,0.5213,-0.8203,0.617,0.5124,1.2771,2.1593,1.116,0.727,0.899,0.6577,0.5514,0,-0.4984
"PA14_00080",12.5467,3.0959,5.1949,0.7601,1.4305,7.7457,10.5452,6.2475,11.0525,5.8118,-0.0219,-3.7962,-0.4755,0,12.3895
"PA14_00090",-0.4031,-3.7728,1.6943,-7.2164,-1.3898,-2.5063,1.4258,7.1149,-3.4256,-1.3851,-0.5104,-5.7004,-3.1315,0,-3.9938
"PA14_00100",0.021,-0.7627,0.4521,-1.4727,-0.3621,0.1121,0.2314,1.9244,1.1771,1.0031,-0.807,0.0912,0.2477,0,-0.822
"PA14_00110",-0.2498,-0.9024,1.4277,1.8168,1,1.9698,-1.0272,2.4088,3.5662,-0.8788,-1.8676,-4.0855,0.7555,0,2.5269
"PA14_00120",0.1646,-0.3252,0.0038,-0.1264,0.0286,-0.2323,0.1811,0.7115,0.3274,-0.199,-0.4188,0.1807,-0.2243,0,-0.2218
"PA14_00130",0.1716,-0.2154,-0.5194,-0.5599,-0.4361,0.2604,-0.0886,0.3604,0.3559,-0.3844,0.0615,-0.4079,0.5497,0,-0.5038
"PA14_00140",0.351,-3.8884,0.3212,-3.283,0.2089,0.581,-0.8391,0.1034,-2.2392,-0.6986,-1.9554,-1.8563,-1.1435,0,-2.5464
"PA14_00150",-25.1408,-15.374,-1.1893,-1.2237,-6.4946,-7.0814,-11.147,-12.2488,-3.7262,-0.2817,-5.2457,-7.0391,-6.5962,0,-10.1846
"PA14_00160",-0.0166,0.1727,0.4193,-0.0024,0.9744,0.0465,-0.0257,0.3584,-0.0803,0.4904,0.2669,-0.0452,0.3601,0,-0.7656
"PA14_00170",-0.0753,-2.8094,0.0379,-1.2367,0.0392,-1.8083,-2.4197,2.7249,-4.0081,-1.5471,-3.473,-0.1263,0.3845,0,-3.9838
"PA14_00180",3.524,1.5591,5.3817,0.2058,2.7965,6.2348,4.77,13.3484,1.1732,3.0152,3.8612,2.385,10.969,0,-7.8566
"PA14_00190",-2.3085,1.0292,2.5721,0.817,1.4331,-3.3071,2.9385,2.452,0.8459,1.6388,0.697,-0.6434,1.6136,0,-0.0081
"PA14_00200",0.6093,-0.0455,-0.4873,-1.2586,-0.2494,0.763,1.1363,1.0433,0.8774,-0.2809,1.8464,-0.4378,-0.0147,0,-1.2477
"PA14_00210",1.3844,8.7746,3.4572,-3.953,4.2194,-1.4537,0.7084,12.227,6.574,-3.7774,9.2319,1.5061,7.6489,0,10.1328
"PA14_00230",4.1289,-4.6956,-2.7939,-2.5061,-2.4111,0.455,2.8349,0.7306,2.3033,3.6312,1.3716,1.0719,-0.688,0,2.2656
