"","PRJNA291292:ampicillin:PA14","PRJNA291292:silver_nitrate:PA14","PRJNA291292:aztreonam:PA14","PRJNA291292:bleach:PA14","PRJNA291292:benzalkonium_chloride:PA14","PRJNA291292:carbenicillin:PA14","PRJNA291292:cefoperazone:PA14","PRJNA291292:ciprofloxacin:PA14","PRJNA291292:gentamicin:PA14","PRJNA291292:neomycin:PA14","PRJNA291292:polymyxin_B:PA14","PRJNA291292:povidone-iodine:PA14","PRJNA291292:tobramycin:PA14","PRJNA291292:water:PA14","PRJNA291292:H2O2:PA14"
"PA14_00010",-0.4565,1.7807,-0.2617,-0.4116,-0.1839,-0.5976,-1.272,0.6056,-0.6018,-0.7221,2.1403,-0.6048,-0.4974,0.387,-0.4116
"PA14_00020",0.217,-0.2071,0.51,-0.226,0.2412,0.3312,-1.0548,3.6304,-1.0267,-0.2213,-0.5778,-1.0965,1.2746,-0.6914,-1.1207
"PA14_00030",-0.0172,-0.0484,-0.6976,-0.5498,-0.3846,-0.8289,0.3605,1.1361,0.8228,0.2236,-0.533,-0.2068,-0.1465,0.6632,-0.0064
"PA14_00050",-0.1252,-1.1698,0.8564,-1.1128,1.1047,-0.1674,-0.3554,3.3152,-0.433,-0.3773,0.3727,-0.3386,0.0422,0.3236,-2.4769
"PA14_00060",0.6884,-0.489,0.2244,-1.2791,-0.7034,0.6166,-0.2068,1.6925,-0.215,-0.3754,0.2432,-0.2694,0.5065,-0.749,-0.7889
"PA14_00070",0.8152,-0.2825,-0.0206,-1.5419,0.0076,0.0731,-0.4394,1.3476,0.3686,0,-0.0191,-0.1254,-0.049,0.5579,-1.2948
"PA14_00080",1.1637,-0.5781,0.1621,-0.51,-0.3193,-0.5762,-0.4883,0.348,0.644,-0.0948,-0.8422,-1.0663,-0.7101,0.4942,0.8062
"PA14_00090",0.3676,-0.454,0.9851,-1.7112,0.0691,0.1458,-0.9934,2.2958,-0.3574,0.4512,0.501,-1.1036,-0.124,-0.5864,-0.8882
"PA14_00100",-0.1921,-0.1748,0.261,-1.6647,-0.5125,0.129,-0.6562,1.6101,0.7942,1.3941,-0.3434,0.01,0.2618,-0.0121,-0.9712
"PA14_00110",0.0177,-1.066,0.4612,0.4054,0.3668,-0.7405,0.8022,0.8754,0.9743,-0.8046,-1.3687,-1.7696,-0.0118,0.0921,0.5308
"PA14_00120",0.2448,-0.693,0.1101,-0.3863,0.095,0.5273,-0.4799,1.5476,0.7875,-0.1829,-0.8583,0.3114,-0.2815,-0.0291,-0.6899
"PA14_00130",0.6145,-0.5472,-0.6062,-0.8377,-0.4744,-0.7013,0.1162,0.8318,0.6762,-0.6792,0,-0.518,1.1041,-0.2703,-0.8001
"PA14_00140",0.7263,-1.466,0.6996,-1.0691,0.5722,-0.7572,-0.0854,0.4994,-0.5378,0.181,-0.4851,-0.3613,0,-0.5314,-0.7853
"PA14_00150",-2.3656,-1.7974,1.0061,0.9811,0.0514,-0.059,0.8343,-0.1368,0.3093,0.7629,-0.3092,-0.2275,-0.1348,-1.1652,-0.7744
"PA14_00160",-0.0539,-0.3078,0.9657,-0.3524,2.3902,-0.12,0.495,0.8185,-0.5728,0.9001,-0.0018,-0.4229,0.7039,0.0875,-2.5073
"PA14_00170",0.2464,-0.6981,0.4538,-0.2096,0.4796,0.4132,0.5222,1.4303,-1.3077,0.0388,-0.9175,0.3062,0.751,-0.3893,-1.46
"PA14_00180",0.2657,-0.362,0.5287,-0.5124,0.0675,-0.7108,-0.3654,1.7609,-0.2178,0.1106,0.1393,-0.0836,1.5734,0.3708,-1.9641
"PA14_00190",-1.7439,-0.3862,1.6875,0.172,0.879,2.5044,-1.5096,1.7229,0.0544,0.3674,-0.5522,-0.8722,0.6693,0.2019,-0.6596
"PA14_00200",0.3919,0.2646,-0.6234,-1.5369,-0.4837,-0.4114,-1.4674,0.8735,0.6568,-0.2477,2.1288,-0.6061,7e-04,0.1183,-1.62
"PA14_00210",-0.3676,1.1599,0.1506,-1.4686,0.1836,0.8513,0.3402,1.5337,0.6387,-0.875,1.298,-0.4356,1.1228,0.5098,1.0516
"PA14_00230",2.0979,-2.6132,-0.8113,-1.4135,-1.3178,-0.1698,-1.0053,0.4356,0.8176,1.3489,0.1608,0.3102,-1.4135,0.285,0.8206
"PA14_00240",1.0832,-1.4047,-0.4344,-0.906,0.9478,1.6271,-0.2601,0.7571,-0.6745,0.9734,-1.432,0.1333,1.3568,0.0219,1.6198
"PA14_00250",-0.0386,-0.5157,-0.0897,1.3402,-0.2554,0.9453,-0.3693,0.042,0.9564,0.6709,-0.572,-0.5835,-0.8518,1.6548,0.8113
"PA14_00280",-1.4979,0.1097,0.7153,-0.8046,-0.1582,0.4489,-1.3313,1.5811,0.1612,-0.6759,-0.0155,-0.7958,0.4639,0.362,-1.2811
"PA14_00290",0.5244,-0.4752,-0.4776,0.1298,-0.378,-1.644,0.8666,0.9342,-0.0234,-0.7213,-0.1147,0.6328,0.6768,-0.2168,-0.2437
"PA14_00300",-0.5929,2.1538,-0.5962,-0.8824,-0.5066,-0.3077,-0.0958,-0.0658,-0.6984,-1.5374,1.6052,0.8409,0.5596,-0.3311,-0.0484
"PA14_00310",-0.236,-1.0937,1.6401,-0.4626,1.1172,0.1906,-0.7178,0.301,-1.0005,0.2427,-0.8662,1.4718,-2.0597,-0.8277,0.875
"PA14_00340",0.127,-0.755,-1.3596,0.6232,-0.9247,1.3078,0.9454,0.1748,-0.6333,0.1194,-0.9551,-1.9793,0.0702,1.2087,0.614
"PA14_00380",-2.1882,0.3047,0.1521,0.6726,1,0.201,-0.4758,-1.9459,-1.0507,-2.3718,-0.3606,-0.0636,0.5201,-0.7331,-1.1103
"PA14_00400",-0.6172,0.8192,-0.2836,-0.4519,-0.1471,0.8423,-0.0946,0.0865,1.2066,1.0315,0.457,-0.3329,-0.2889,0.2818,-0.4943
"PA14_00410",0,0.6638,0.059,-1.1598,-0.9428,0.6918,-0.4698,-0.1936,0.1767,1.2495,-0.115,-0.3928,0.0645,0.2772,0.2373
"PA14_00420",-0.3651,-0.3714,0.4769,0.1753,0.7071,0.3158,0.3714,-0.9207,0.0764,-0.0342,-0.6214,0.6256,-1.4172,0.5836,-0.6138
"PA14_00430",0.6438,-1.3477,1.076,0.0224,1.2508,-0.6678,1.0229,1.1775,0.2004,0.0914,-1.489,-0.8189,-1.2416,-0.1074,-0.8144
"PA14_00440",0.916,1.4067,-1.3922,-0.0379,0.2489,0.0138,-0.0517,0.0897,-0.7366,0.186,-0.4734,0.1045,-2.2854,-0.6187,1.0433
"PA14_00450",0.1544,-0.1005,0.5062,1.0006,-1.1819,0.73,-0.3292,-0.4954,0.3964,0.2878,-0.223,-0.0214,-0.2586,-0.0916,-1.2533
"PA14_00460",-1.0471,-0.5578,-0.0704,-0.2932,-0.5959,0.1588,-0.9524,-1.0589,0.8628,0.7267,0.129,0.1316,0.238,0.2427,-0.7423
"PA14_00470",0.1296,-0.0379,-0.4004,0.7085,-0.2343,0.3648,2.8898,1.3663,2.1959,-0.6144,1.3599,0.0934,-0.8496,0.5145,-0.9333
"PA14_00480",0.1918,-0.1668,0.6708,-0.952,0.8037,0.3427,0.1382,1.118,0.5853,-0.7632,0.364,0.0174,0.1999,-0.3792,-1.3711
"PA14_00490",-1.4013,0.5634,-0.1142,-0.494,-0.5874,-0.699,-0.3548,0.49,-1.0035,-1.4101,0.1738,-0.2297,0.4372,0.0383,1.9322
"PA14_00510",0.7106,-0.6738,-0.3691,-1.3451,-0.1218,-0.6328,0.4991,0.4614,-0.0044,-0.3017,0.2319,-0.9096,-0.3496,0.5236,3.2338
"PA14_00520",1.4835,-0.5574,-0.335,0.6495,1.2579,0.2242,0.3908,1.1302,0.9472,-0.1554,-0.9111,0.8994,-0.4141,0.0865,0.8812
"PA14_00530",-0.1674,-1.5801,-0.1307,-0.2257,0.9152,-0.1667,0.5609,1.8513,1.392,-0.0949,-1.1722,-0.7842,0.4438,-0.9926,-0.4548
"PA14_00550",-0.7505,-0.5869,0.095,-0.8253,-0.6103,-0.5678,0.1559,1.0236,-2.0072,0.732,-1.0438,0.2864,-1.4188,-0.1258,0.3564
"PA14_00560",0.5746,-0.5036,0.9587,2.5688,0.8602,0.2618,-0.407,-0.0113,-1.3794,-1.4179,-0.2154,-0.4933,-0.3567,-0.8515,-0.666
"PA14_00570",0.7801,-0.6487,0.6022,-0.442,-0.5987,-0.0523,-0.2858,1.2422,0.1263,-0.4902,-1.2181,0.1652,0.0547,-0.5614,0.7844
"PA14_00580",-0.3473,-0.1065,1.3762,-0.594,0.2094,0.5466,0.2822,1.3222,-0.238,-0.1187,-0.7156,-0.1365,0.7071,-0.6155,-0.0432
"PA14_00590",-0.6902,0.1532,0.956,0.2063,0.5921,0.2414,-0.711,0.9986,-2.0305,-0.6998,0.2777,-0.7442,-0.2466,-0.78,-0.5292
"PA14_00630",0.1691,0.3729,0.3516,-0.531,-0.7924,-0.5726,0.3756,0.0383,0.1737,1.2421,-1.3673,-1.3673,-1.3673,0.6629,0.4966
"PA14_00640",0.1733,-1.1508,0.3306,-0.1817,-1.1508,-0.5926,-0.5606,0.6808,0.6761,0.1482,-0.395,-0.6552,-0.4301,0.3591,-0.5687
"PA14_00660",-0.2397,-0.0024,-0.5722,0.4438,-0.53,0.2124,0.2206,0.742,0.1798,-0.1482,0.1192,0.9571,-0.0374,-0.3603,-0.0047
"PA14_00670",0.0742,-1.4292,-0.3232,1.1856,0.5586,-0.1966,0.0146,-0.7717,0.3656,1.0162,-0.2947,-0.511,-0.4957,-0.8281,0
"PA14_00680",-0.2493,0.4614,0.6336,-0.5515,-1.3102,0.8631,-0.6598,0.2802,-0.8242,2.1174,0.988,0.1077,1.0423,0.2529,-0.0015
"PA14_00690",0.2299,-1.7744,-0.0895,0.1578,0.3627,0.7468,-1.1639,0.2607,-0.2202,0.6106,0.2201,-1.2108,0.6023,0.9004,-1.7744
"PA14_00710",-0.0804,1.3477,0.051,0.3408,0.6876,0.4996,1.1213,1.2731,-0.0094,-0.9224,3.3724,-0.0624,-0.2858,0.1319,-0.3089
"PA14_00720",1.0796,-0.0071,0.9576,-0.4996,0.0537,0.5772,1.4857,0.5115,0.5693,-0.4906,-0.6997,-0.5042,-0.7183,0.8452,-1.5527
"PA14_00730",-0.526,0.9341,-0.2734,0.2882,0.2945,0.1111,0.567,0.5614,0.3986,-0.3338,-0.4867,-0.1562,-0.1659,0.5196,-0.1562
"PA14_00740",-0.9447,-0.2074,-0.4387,-2.5605,-1.1783,0.869,-0.4236,1.8589,0.8952,-0.3737,1.2694,-0.5252,0.3076,0.0377,-0.3852
"PA14_00750",1.2542,-0.2288,-0.4072,0.5414,-1.0441,-0.3144,-1.6257,-0.1921,1.0966,-0.3988,1.0686,0.1187,-0.0225,-0.1756,-0.915
"PA14_00760",0.0498,0.3136,0.9868,-0.6015,0.2553,0.4848,1.22,0.2089,-0.8398,-0.7395,-0.767,-1.5788,-0.1573,-1.0188,0.832
"PA14_00770",-0.8019,-0.1186,0.0402,0.0287,0.8619,-0.5362,0.1158,0.2254,-0.0277,-0.6204,-0.406,-0.5563,-0.1608,-0.3992,-0.5421
"PA14_00780",-0.0308,-0.6833,-1.3669,-0.6594,0.9206,-0.1395,1.3615,0.6886,0.1202,0.5573,-0.3561,-0.2529,0.2337,-0.0094,0.5872
"PA14_00790",-0.2758,0.1418,-0.5729,-0.1187,0.196,2.2566,-0.439,1.0497,2.2929,2.145,-0.1778,-1.286,0.0406,0.2373,0.326
"PA14_00800",1.2076,0.2655,-0.0242,-0.2372,0.1486,0.3969,-0.4534,0.4413,-0.2774,0.1596,0.4027,0.5622,-0.4656,-0.226,0.5232
"PA14_00810",0.4134,-1.1252,0.3369,-0.0667,-0.2544,0.1807,0.9424,1.9488,0.5386,2e-04,-0.4062,8e-04,-0.0281,0.3146,1.408
"PA14_00820",0.2655,0.9652,0.6401,-2.5478,-0.06,-0.174,0.0255,2.8427,-0.1352,-0.1478,-0.8012,0.1976,-0.5679,-1.2742,9.3229
