#1.3
5849	40	16	13
id	gene_id	new_ID	gene_name	Gene.description..RefSeq.	Gene.description..PATRIC.	Gene.description..KEGG..based.on.PA14	KO.term	Category	Feature.Type	PAO1_ID	Length..nucleotides.	Length..amino.acids.	Molecular.Weight..predicted.	Isoelectric.Point..predicted.	Subcellular.Localization..Confidence.Class.	gene.num	MOCP_0193:rhamnose:0.00000%:CRISPRi_noguide:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi_ctrlg:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi_rhlR:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi_folA:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi_gyrA:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-gyrB:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-parC:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-ssb:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-lptA:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi_lptD:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-lptE:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-dxr:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-lpxC:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-mreB:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-leuS:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-rpoB:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-rpsL:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-rplJ:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-murA:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-pbpA:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi_ctrlg:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi_rhlR:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi_folA:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi_gyrA:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-gyrB:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-parC:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-ssb:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-lptA:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi_lptD:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi_noguide:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-lptE:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-dxr:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-lpxC:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-mreB:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-leuS:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-rpoB:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-rpsL:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-rplJ:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-murA:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-pbpA:600min:A
condition_id	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	MOCP_0193:rhamnose:0.00000%:CRISPRi_noguide:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi_ctrlg:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi_rhlR:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi_folA:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi_gyrA:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-gyrB:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-parC:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-ssb:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-lptA:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi_lptD:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-lptE:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-dxr:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-lpxC:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-mreB:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-leuS:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-rpoB:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-rpsL:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-rplJ:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-murA:600min:A	MOCP_0193:rhamnose:0.00000%:CRISPRi-pbpA:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi_ctrlg:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi_rhlR:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi_folA:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi_gyrA:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-gyrB:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-parC:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-ssb:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-lptA:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi_lptD:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi_noguide:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-lptE:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-dxr:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-lpxC:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-mreB:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-leuS:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-rpoB:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-rpsL:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-rplJ:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-murA:600min:A	MOCP_0193:rhamnose:0.05000%:CRISPRi-pbpA:600min:A
pert_id	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose
pert_dose	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
pert_idose	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0.00000%	0.00000%	0.00000%	0.00000%	0.00000%	0.00000%	0.00000%	0.00000%	0.00000%	0.00000%	0.00000%	0.00000%	0.00000%	0.00000%	0.00000%	0.00000%	0.00000%	0.00000%	0.00000%	0.00000%	0.05000%	0.05000%	0.05000%	0.05000%	0.05000%	0.05000%	0.05000%	0.05000%	0.05000%	0.05000%	0.05000%	0.05000%	0.05000%	0.05000%	0.05000%	0.05000%	0.05000%	0.05000%	0.05000%	0.05000%
pert_dose_unit	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%
pert_iname	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose	rhamnose
pert_itime	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min	600min
pert_time	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600
pert_time_unit	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min	min
pert_type	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	negcon	negcon	poscon	poscon	poscon	poscon	poscon	poscon	poscon	poscon	poscon	poscon	poscon	poscon	poscon	poscon	poscon	poscon	poscon	poscon	negcon	poscon	poscon	poscon	poscon	poscon	poscon	poscon	poscon	negcon	poscon	poscon	poscon	poscon	poscon	poscon	poscon	poscon	poscon	poscon
